First Name,Last Name,Class,Major,Major (Abbreviated),URL
Kush,Arora,Freshman,Undeclared,Undeclared,/sports/mens-golf/roster/kush-arora/20450
Jake,Beber-Frankel,Senior,Undeclared,Undeclared,/sports/mens-golf/roster/jake-beber-frankel/20442
Barclay,Brown,Graduate Student,Economics,ECON,/sports/mens-golf/roster/barclay-brown/20443
Sean-Karl,Dobson,Sophomore,Undeclared,Undeclared,/sports/mens-golf/roster/sean-karl-dobson/20444
Ethan,Gao,Freshman,Undeclared,Undeclared,/sports/mens-golf/roster/ethan-gao/20451
Dean,Greyserman,Sophomore,Undeclared,Undeclared,/sports/mens-golf/roster/dean-greyserman/20445
Anton,Ouyang,Sophomore,Undeclared,Undeclared,/sports/mens-golf/roster/anton-ouyang/20446
Michael,Thorbjornsen,Senior,Communication,COMM,/sports/mens-golf/roster/michael-thorbjornsen/20447
Karl,Vilips,Senior,Communication,COMM,/sports/mens-golf/roster/karl-vilips/20448
