First Name,Last Name,Class,Major,Major (Abbreviated),URL
Sadie,Englemann,Senior,"Science, Technology and Society",STS,/sports/womens-golf/roster/sadie-englemann/20477
Megha,Ganne,Sophomore,Undeclared,Undeclared,/sports/womens-golf/roster/megha-ganne/20478
Rachel,Heck,Senior,Political Science,POLISCI,/sports/womens-golf/roster/rachel-heck/20479
Yu Wen,Lu,Junior,"Science, Technology and Society",STS,/sports/womens-golf/roster/yu-wen-lu/20480
Paula,Martín Sampedro,Freshman,Undeclared,Undeclared,/sports/womens-golf/roster/paula-mart-n-sampedro/20541
Brooke,Seay,Graduate Student,Epidemiology and Clinical Research,,/sports/womens-golf/roster/brooke-seay/20481
Caroline,Sturdza,Junior,"Science, Technology and Society",STS,/sports/womens-golf/roster/caroline-sturdza/20482
Kelly,Xu,Sophomore,Undeclared,Undeclared,/sports/womens-golf/roster/kelly-xu/20483
